4P/5P/6P,Audited SKUs,Banner,Channel,City,Cluster,Commune,Compliance,Compliance %,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product brand,Product category,Product division,Product market,Product sector,Province,Region,SKU,Sales area,Sales region,Sales route,Sales territory,Score,Store area,Store location,Subchannel,Trade Format
6P,5,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 5,Hair,HPC,Market 3,Sector 5,Province 1,North,SKU 10,Area 1,Reg 1,Route 1,Territory 1,5,St Area 1,Loc 1,Hypermarket,MT
6P,3,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 7,Ice Cream,Beverage and Refreshments,Market 5,Sector 8,Province 1,North,SKU 15,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Hypermarket,MT
6P,1,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 11,Ice Cream,Beverage and Refreshments,Market 6,Sector 11,Province 1,North,SKU 21,Area 1,Reg 1,Route 1,Territory 1,1,St Area 1,Loc 1,Hypermarket,MT
6P,3,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 9,Ice Cream,Beverage and Refreshments,Market 6,Sector 10,Province 1,North,SKU 18,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Hypermarket,MT
6P,9,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 1,Skin Care,HPC,Market 1,Sector 1,Province 1,North,SKU 1,Area 1,Reg 1,Route 1,Territory 1,9,St Area 1,Loc 1,Hypermarket,MT
6P,5,Banner 1,Hypermarket,City 1,SEAA,Commune 1,0,0.8,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 5,Hair,HPC,Market 3,Sector 5,Province 1,North,SKU 10,Area 1,Reg 1,Route 1,Territory 1,4,St Area 1,Loc 1,Hypermarket,MT
6P,3,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 7,Ice Cream,Beverage and Refreshments,Market 5,Sector 8,Province 1,North,SKU 15,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Hypermarket,MT
6P,1,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 11,Ice Cream,Beverage and Refreshments,Market 6,Sector 11,Province 1,North,SKU 21,Area 1,Reg 1,Route 1,Territory 1,1,St Area 1,Loc 1,Hypermarket,MT
6P,3,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 9,Ice Cream,Beverage and Refreshments,Market 6,Sector 10,Province 1,North,SKU 18,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Hypermarket,MT
6P,9,Banner 1,Hypermarket,City 1,SEAA,Commune 1,0,0.777778,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 1,Skin Care,HPC,Market 1,Sector 1,Province 1,North,SKU 1,Area 1,Reg 1,Route 1,Territory 1,7,St Area 1,Loc 1,Hypermarket,MT
6P,5,Banner 1,Hypermarket,City 1,SEAA,Commune 1,0,0.8,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 5,Hair,HPC,Market 3,Sector 5,Province 1,North,SKU 10,Area 1,Reg 1,Route 1,Territory 1,4,St Area 1,Loc 1,Hypermarket,MT
6P,3,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 7,Ice Cream,Beverage and Refreshments,Market 5,Sector 8,Province 1,North,SKU 15,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Hypermarket,MT
6P,1,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 11,Ice Cream,Beverage and Refreshments,Market 6,Sector 11,Province 1,North,SKU 21,Area 1,Reg 1,Route 1,Territory 1,1,St Area 1,Loc 1,Hypermarket,MT
6P,3,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 9,Ice Cream,Beverage and Refreshments,Market 6,Sector 10,Province 1,North,SKU 18,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Hypermarket,MT
6P,9,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 1,Skin Care,HPC,Market 1,Sector 1,Province 1,North,SKU 1,Area 1,Reg 1,Route 1,Territory 1,9,St Area 1,Loc 1,Hypermarket,MT
6P,5,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 5,Hair,HPC,Market 3,Sector 5,Province 1,North,SKU 10,Area 1,Reg 1,Route 1,Territory 1,5,St Area 1,Loc 1,Hypermarket,MT
6P,3,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 7,Ice Cream,Beverage and Refreshments,Market 5,Sector 8,Province 1,North,SKU 15,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Hypermarket,MT
6P,1,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 11,Ice Cream,Beverage and Refreshments,Market 6,Sector 11,Province 1,North,SKU 21,Area 1,Reg 1,Route 1,Territory 1,1,St Area 1,Loc 1,Hypermarket,MT
6P,3,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 9,Ice Cream,Beverage and Refreshments,Market 6,Sector 10,Province 1,North,SKU 18,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Hypermarket,MT
6P,9,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Brand 1,Skin Care,HPC,Market 1,Sector 1,Province 1,North,SKU 1,Area 1,Reg 1,Route 1,Territory 1,9,St Area 1,Loc 1,Hypermarket,MT
6P,5,Banner 10,Discounters,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 5,Hair,HPC,Market 3,Sector 5,Province 1,North,SKU 10,Area 1,Reg 1,Route 1,Territory 1,5,St Area 1,Loc 1,Discounters,MT
6P,3,Banner 10,Discounters,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 7,Ice Cream,Beverage and Refreshments,Market 5,Sector 8,Province 1,North,SKU 15,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Discounters,MT
6P,1,Banner 10,Discounters,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 11,Ice Cream,Beverage and Refreshments,Market 6,Sector 11,Province 1,North,SKU 21,Area 1,Reg 1,Route 1,Territory 1,1,St Area 1,Loc 1,Discounters,MT
6P,3,Banner 10,Discounters,City 1,SEAA,Commune 1,0,0.666667,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 9,Ice Cream,Beverage and Refreshments,Market 6,Sector 10,Province 1,North,SKU 18,Area 1,Reg 1,Route 1,Territory 1,2,St Area 1,Loc 1,Discounters,MT
6P,9,Banner 10,Discounters,City 1,SEAA,Commune 1,0,0.888889,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 1,Skin Care,HPC,Market 1,Sector 1,Province 1,North,SKU 1,Area 1,Reg 1,Route 1,Territory 1,8,St Area 1,Loc 1,Discounters,MT
6P,5,Banner 10,Discounters,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 5,Hair,HPC,Market 3,Sector 5,Province 1,North,SKU 10,Area 1,Reg 1,Route 1,Territory 1,5,St Area 1,Loc 1,Discounters,MT
6P,3,Banner 10,Discounters,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 7,Ice Cream,Beverage and Refreshments,Market 5,Sector 8,Province 1,North,SKU 15,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Discounters,MT
6P,1,Banner 10,Discounters,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 11,Ice Cream,Beverage and Refreshments,Market 6,Sector 11,Province 1,North,SKU 21,Area 1,Reg 1,Route 1,Territory 1,1,St Area 1,Loc 1,Discounters,MT
6P,3,Banner 10,Discounters,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 9,Ice Cream,Beverage and Refreshments,Market 6,Sector 10,Province 1,North,SKU 18,Area 1,Reg 1,Route 1,Territory 1,3,St Area 1,Loc 1,Discounters,MT
6P,9,Banner 10,Discounters,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 1,Skin Care,HPC,Market 1,Sector 1,Province 1,North,SKU 1,Area 1,Reg 1,Route 1,Territory 1,9,St Area 1,Loc 1,Discounters,MT
6P,5,Banner 10,Discounters,City 1,SEAA,Commune 1,1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,5/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Brand 5,Hair,HPC,Market 3,Sector 5,Province 1,North,SKU 10,Area 1,Reg 1,Route 1,Territory 1,5,St Area 1,Loc 1,Discounters,MT
