Audit_Date,Banner,Banner_ID,CTA_Audit_Date_LV,CTA_Audited,CTA_Audited_LV,CTA_Compliance,CTA_Compliance_LV,CTA_Count,CTA_Count_LV,CTA_Hurdle_Rate_Percentage,CTA_Hurdle_Rate_Percentage_LV,CTA_Percentage,CTA_Percentage_LV,Cabinet_Care_Audit_Date_LV,Cabinet_Care_Audited,Cabinet_Care_Audited_LV,Cabinet_Care_Compliance,Cabinet_Care_Compliance_LV,Cabinet_Care_Count,Cabinet_Care_Count_LV,Cabinet_Care_Hurdle_Rate_Percentage,Cabinet_Care_Hurdle_Rate_Percentage_LV,Cabinet_Care_Percentage,Cabinet_Care_Percentage_LV,Cabinet_Fill_Audit_Date_LV,Cabinet_Fill_Audited,Cabinet_Fill_Audited_LV,Cabinet_Fill_Compliance,Cabinet_Fill_Compliance_LV,Cabinet_Fill_Count,Cabinet_Fill_Count_LV,Cabinet_Fill_Hurdle_Rate_Percentage,Cabinet_Fill_Hurdle_Rate_Percentage_LV,Cabinet_Fill_Percentage,Cabinet_Fill_Percentage_LV,Cabinet_Type_Audit_Date_LV,Cabinet_Type_Audited,Cabinet_Type_Audited_LV,Cabinet_Type_Compliance,Cabinet_Type_Compliance_LV,Cabinet_Type_Count,Cabinet_Type_Count_LV,Cabinet_Type_Hurdle_Rate_Percentage,Cabinet_Type_Hurdle_Rate_Percentage_LV,Cabinet_Type_Percentage,Cabinet_Type_Percentage_LV,Category_ID,Channel,City,City_ID,Commune,Country,Customer,Customer_ID,Division_ID,Field_Execution_Manager,Field_Execution_Manager_ID,Field_Sales_Manager,Field_Sales_Manager_ID,Key_Customer_Type,Local_Channel,Local_Channel_ID,Local_Product_Category,Local_Product_Market,Local_Subchannel,Local_Subchannel_ID,Location,Location_Audit_Date_LV,Location_Audited,Location_Audited_LV,Location_Compliance,Location_Compliance_LV,Location_Count,Location_Count_LV,Location_Hurdle_Rate_Percentage,Location_Hurdle_Rate_Percentage_LV,Location_Percentage,Location_Percentage_LV,Market_ID,NPD_Audit_Date_LV,NPD_Audited,NPD_Audited_LV,NPD_Count,NPD_Count_LV,NPD_Hurdle_Rate_Percentage,NPD_Hurdle_Rate_Percentage_LV,NPD_Percentage,NPD_Percentage_LV,OSA_Audit_Date_LV,OSA_Audited,OSA_Audited_LV,OSA_Count,OSA_Count_LV,OSA_Hurdle_Rate_Percentage,OSA_Hurdle_Rate_Percentage_LV,OSA_Percentage,OSA_Percentage_LV,Outlet_Classification,Outlet_ID,Outlet_Name,POS_Kits_Audit_Date_LV,POS_Kits_Audited,POS_Kits_Audited_LV,POS_Kits_Compliance,POS_Kits_Compliance_LV,POS_Kits_Count,POS_Kits_Count_LV,POS_Kits_Hurdle_Rate_Percentage,POS_Kits_Hurdle_Rate_Percentage_LV,POS_Kits_Percentage,POS_Kits_Percentage_LV,PSP_Audit_Date_LV,PSP_Audited,PSP_Audited_LV,PSP_Compliance,PSP_Compliance_LV,PSP_Count,PSP_Count_LV,PSP_Hurdle_Rate_Percentage,PSP_Hurdle_Rate_Percentage_LV,PSP_Percentage,PSP_Percentage_LV,PS_Category,PS_Compliance,PS_Compliance_Audit_Date_LV,PS_Compliance_LV,PS_Compliance_Target,PS_Standard,Pack_Audit_Date_LV,Pack_Compliance,Pack_Compliance_LV,Place_Audit_Date_LV,Place_Compliance,Place_Compliance_LV,Planogram_Audit_Date_LV,Planogram_Audited,Planogram_Audited_LV,Planogram_Compliance,Planogram_Compliance_LV,Planogram_Count,Planogram_Count_LV,Planogram_Hurdle_Rate_Percentage,Planogram_Hurdle_Rate_Percentage_LV,Planogram_Percentage,Planogram_Percentage_LV,Price_Audit_Date_LV,Price_Compliance,Price_Compliance_LV,Price_Visibility_Audit_Date_LV,Price_Visibility_Audited,Price_Visibility_Audited_LV,Price_Visibility_Compliance,Price_Visibility_Compliance_LV,Price_Visibility_Count,Price_Visibility_Count_LV,Price_Visibility_Hurdle_Rate_Percentage,Price_Visibility_Hurdle_Rate_Percentage_LV,Price_Visibility_Percentage,Price_Visibility_Percentage_LV,Priority_Promo_Audit_Date_LV,Priority_Promo_Audited,Priority_Promo_Audited_LV,Priority_Promo_Compliance,Priority_Promo_Compliance_LV,Priority_Promo_Count,Priority_Promo_Count_LV,Priority_Promo_Hurdle_Rate_Percentage,Priority_Promo_Hurdle_Rate_Percentage_LV,Priority_Promo_Percentage,Priority_Promo_Percentage_LV,Product_Category,Product_Compliance,Product_Compliance_Audit_Date_LV,Product_Compliance_LV,Product_Division,Product_Market,Promo_Audit_Date_LV,Promo_Compliance,Promo_Compliance_LV,Proposition_Audit_Date_LV,Propostion_Compliance,Propostion_Compliance_LV,Province,Record_Id,Region,Rural_Urban,SOF_Audit_Date_LV,SOF_Audited,SOF_Audited_LV,SOF_Compliance,SOF_Compliance_LV,SOF_Count,SOF_Count_LV,SOF_Hurdle_Rate_Percentage,SOF_Hurdle_Rate_Percentage_LV,SOF_Percentage,SOF_Percentage_LV,SOS_Audit_Date_LV,SOS_Audited,SOS_Audited_LV,SOS_Compliance,SOS_Compliance_LV,SOS_Count,SOS_Count_LV,SOS_Hurdle_Rate_Percentage,SOS_Hurdle_Rate_Percentage_LV,SOS_Percentage,SOS_Percentage_LV,Sales_Org,Sales_Region,Sales_Route,Sales_Territory,Sales_area,Secondary_Placement_Audit_Date_LV,Secondary_Placement_Audited,Secondary_Placement_Audited_LV,Secondary_Placement_Compliance,Secondary_Placement_Compliance_LV,Secondary_Placement_Count,Secondary_Placement_Count_LV,Secondary_Placement_Hurdle_Rate_Percentage,Secondary_Placement_Hurdle_Rate_Percentage_LV,Secondary_Placement_Percentage,Secondary_Placement_Percentage_LV,Share_of_Cabinet_Audit_Date_LV,Share_of_Cabinet_Audited,Share_of_Cabinet_Audited_LV,Share_of_Cabinet_Compliance,Share_of_Cabinet_Compliance_LV,Share_of_Cabinet_Count,Share_of_Cabinet_Count_LV,Share_of_Cabinet_Hurdle_Rate_Percentage,Share_of_Cabinet_Hurdle_Rate_Percentage_LV,Share_of_Cabinet_Percentage,Share_of_Cabinet_Percentage_LV,Store_Operations_Manager,Store_Operations_Manager_ID,Strategic_Price_Audit_Date_LV,Strategic_Price_Audited,Strategic_Price_Audited_LV,Strategic_Price_Compliance,Strategic_Price_Compliance_LV,Strategic_Price_Count,Strategic_Price_Count_LV,Strategic_Price_Hurdle_Rate_Percentage,Strategic_Price_Hurdle_Rate_Percentage_LV,Strategic_Price_Percentage,Strategic_Price_Percentage_LV,Subchannel,Top_Customer,Trade_Format
2016-11-06,Banner 1,1,2016-11-06,0,0,0,0,0,49,0.284,0.284,0.284,0.284,2016-11-06,0,0,0,0,0,46,0.284,0.284,0.284,0.284,2016-11-06,0,0,0,0,0,34,0.284,0.284,0.284,0.284,2016-11-06,0,0,0,0,0,12,0.284,0.284,0.284,0.284,24,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 4,4,Manager 5,5,Others,Channel 1,1,Route 1,Market 1,Local Subchannel 50,1,Market,2016-11-06,0,0,0,0,0,6,0.284,0.284,0.284,0.284,24,2016-11-06,1,0,1,0,0.202,0.284,0.202,0.284,2016-11-06,1,0,43,0,0.521,0.284,0.521,0.284,MIX,12,Outlet 12,2016-11-06,0,0,0,0,0,50,0.284,0.284,0.284,0.284,2016-11-06,0,0,0,0,0,37,0.284,0.284,0.284,0.284,HPC&F,1,2016-11-06,0,0.483,6P,2016-11-06,1,0,2016-11-06,0,0,2016-11-06,0,0,0,0,0,48,0.284,0.284,0.284,0.284,2016-11-06,1,0,2016-11-06,4,0,0,0,95,0,0.284,0.284,0.284,0.284,2016-11-06,4,0,0,0,4,2,0.284,0.284,0.284,0.284,Ice Cream,1,2016-11-06,0,Ice Cream,Market 1,2016-11-06,1,0,2016-11-06,0,0,Province 1,HPC&F2016-11-0612,North,Urban,2016-11-06,4,0,0,0,4,40,0.284,0.284,0.284,0.284,2016-11-06,4,0,0,0,4,35,0.284,0.284,0.284,0.284,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-11-06,0,0,0,0,0,16,0.284,0.284,0.284,0.284,2016-11-06,0,0,0,0,0,42,0.284,0.284,0.284,0.284,Manager 4,4,2016-11-06,4,0,5,0,4,0,0.539,0.284,0.539,0.284,Hypermarket,YES,MT
2016-10-06,Banner 1,1,2016-10-06,1,1,1,1,1,32,0.865,0.865,0.865,0.865,2016-10-06,1,1,1,1,1,39,0.865,0.865,0.865,0.865,2016-10-06,1,1,1,1,1,41,0.865,0.865,0.865,0.865,2016-10-06,1,1,1,1,1,28,0.865,0.865,0.865,0.865,46,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 5,5,Manager 6,6,Regional,Channel 1,1,Route 1,Market 1,Local Subchannel 49,1,Market,2016-10-06,1,1,1,1,1,43,0.865,0.865,0.865,0.865,46,2016-10-06,0,1,0,1,0.655,0.865,0.655,0.865,2016-10-06,1,1,20,1,0.43,0.865,0.43,0.865,MIX,13,Outlet 13,2016-10-06,1,1,1,1,1,50,0.865,0.865,0.865,0.865,2016-10-06,1,1,1,1,1,20,0.865,0.865,0.865,0.865,HPC&F,1,2016-10-06,1,0,6P,2016-10-06,1,1,2016-10-06,1,1,2016-10-06,1,1,1,1,1,31,0.865,0.865,0.865,0.865,2016-10-06,1,1,2016-10-06,5,1,1,1,18,1,0.865,0.865,0.865,0.865,2016-10-06,5,1,1,1,5,38,0.865,0.865,0.865,0.865,Skin Care,1,2016-10-06,1,Skin Care,Market 1,2016-10-06,1,1,2016-10-06,1,1,Province 1,HPC&F2016-10-0613,North,Urban,2016-10-06,5,1,1,1,5,42,0.865,0.865,0.865,0.865,2016-10-06,5,1,1,1,5,33,0.865,0.865,0.865,0.865,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-10-06,1,1,1,1,1,48,0.865,0.865,0.865,0.865,2016-10-06,1,1,1,1,1,10,0.865,0.865,0.865,0.865,Manager 5,5,2016-10-06,5,1,6,1,5,1,0.777,0.865,0.777,0.865,Hypermarket,YES,MT
2016-09-06,Banner 1,1,2016-09-06,0,0,0,0,0,29,0.301,0.301,0.301,0.301,2016-09-06,0,0,0,0,0,26,0.301,0.301,0.301,0.301,2016-09-06,0,0,0,0,0,5,0.301,0.301,0.301,0.301,2016-09-06,0,0,0,0,0,2,0.301,0.301,0.301,0.301,16,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 5,5,Manager 7,7,Global,Channel 1,1,Route 1,Market 1,Local Subchannel 41,1,Street,2016-09-06,0,0,0,0,0,36,0.301,0.301,0.301,0.301,16,2016-09-06,0,0,0,0,0.999,0.301,0.999,0.301,2016-09-06,1,0,24,0,0.652,0.301,0.652,0.301,MIX,14,Outlet 14,2016-09-06,0,0,0,0,0,32,0.301,0.301,0.301,0.301,2016-09-06,0,0,0,0,0,41,0.301,0.301,0.301,0.301,HPC&F,1,2016-09-06,0,0,6P,2016-09-06,1,0,2016-09-06,0,0,2016-09-06,0,0,0,0,0,6,0.301,0.301,0.301,0.301,2016-09-06,1,0,2016-09-06,5,0,0,0,9,0,0.301,0.301,0.301,0.301,2016-09-06,5,0,0,0,5,45,0.301,0.301,0.301,0.301,Hair,1,2016-09-06,0,Hair,Market 1,2016-09-06,1,0,2016-09-06,0,0,Province 1,HPC&F2016-09-0614,North,Urban,2016-09-06,5,0,0,0,5,17,0.301,0.301,0.301,0.301,2016-09-06,5,0,0,0,5,48,0.301,0.301,0.301,0.301,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-09-06,0,0,0,0,0,30,0.301,0.301,0.301,0.301,2016-09-06,0,0,0,0,0,41,0.301,0.301,0.301,0.301,Manager 5,5,2016-09-06,5,0,7,0,5,0,0.572,0.301,0.572,0.301,Hypermarket,YES,MT
2016-08-06,Banner 1,1,2016-08-06,0,0,0,0,0,26,0.884,0.884,0.884,0.884,2016-08-06,0,0,0,0,0,1,0.884,0.884,0.884,0.884,2016-08-06,0,0,0,0,0,19,0.884,0.884,0.884,0.884,2016-08-06,0,0,0,0,0,41,0.884,0.884,0.884,0.884,23,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 5,5,Manager 5,5,Local,Channel 1,1,Route 1,Market 1,Local Subchannel 56,1,Market,2016-08-06,0,0,0,0,0,21,0.884,0.884,0.884,0.884,23,2016-08-06,1,0,1,0,0.234,0.884,0.234,0.884,2016-08-06,0,0,42,0,0.978,0.884,0.978,0.884,MIX,15,Outlet 15,2016-08-06,0,0,0,0,0,48,0.884,0.884,0.884,0.884,2016-08-06,0,0,0,0,0,29,0.884,0.884,0.884,0.884,IC,0,2016-08-06,0,0.757,6P,2016-08-06,1,0,2016-08-06,0,0,2016-08-06,0,0,0,0,0,22,0.884,0.884,0.884,0.884,2016-08-06,1,0,2016-08-06,5,0,0,0,7,0,0.884,0.884,0.884,0.884,2016-08-06,5,0,0,0,5,40,0.884,0.884,0.884,0.884,Ice Cream,0,2016-08-06,0,Ice Cream,Market 1,2016-08-06,1,0,2016-08-06,0,0,Province 1,IC2016-08-0615,North,Urban,2016-08-06,5,0,0,0,5,35,0.884,0.884,0.884,0.884,2016-08-06,5,0,0,0,5,46,0.884,0.884,0.884,0.884,IC,Reg 1,Route 1,Territory 1,Area 1,2016-08-06,0,0,0,0,0,19,0.884,0.884,0.884,0.884,2016-08-06,0,0,0,0,0,30,0.884,0.884,0.884,0.884,Manager 5,5,2016-08-06,5,0,5,0,5,0,0.588,0.884,0.588,0.884,Hypermarket,YES,MT
2016-07-06,Banner 1,1,2016-07-06,0,0,0,0,0,25,0.064,0.064,0.064,0.064,2016-07-06,0,0,0,0,0,45,0.064,0.064,0.064,0.064,2016-07-06,0,0,0,0,0,1,0.064,0.064,0.064,0.064,2016-07-06,0,0,0,0,0,30,0.064,0.064,0.064,0.064,55,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 6,6,Manager 6,6,Others,Channel 1,1,Route 1,Market 1,Local Subchannel 44,1,Street,2016-07-06,0,0,0,0,0,7,0.064,0.064,0.064,0.064,55,2016-07-06,1,0,0,0,0.02,0.064,0.02,0.064,2016-07-06,1,0,16,0,0.121,0.064,0.121,0.064,MIX,16,Outlet 16,2016-07-06,0,0,0,0,0,33,0.064,0.064,0.064,0.064,2016-07-06,0,0,0,0,0,30,0.064,0.064,0.064,0.064,HPC&F,1,2016-07-06,0,0.693,6P,2016-07-06,0,0,2016-07-06,0,0,2016-07-06,0,0,0,0,0,29,0.064,0.064,0.064,0.064,2016-07-06,0,0,2016-07-06,6,0,0,0,55,0,0.064,0.064,0.064,0.064,2016-07-06,6,0,0,0,6,35,0.064,0.064,0.064,0.064,Ice Cream,1,2016-07-06,0,Ice Cream,Market 1,2016-07-06,1,0,2016-07-06,0,0,Province 1,HPC&F2016-07-0616,North,Urban,2016-07-06,6,0,0,0,6,10,0.064,0.064,0.064,0.064,2016-07-06,6,0,0,0,6,33,0.064,0.064,0.064,0.064,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-07-06,0,0,0,0,0,19,0.064,0.064,0.064,0.064,2016-07-06,0,0,0,0,0,22,0.064,0.064,0.064,0.064,Manager 6,6,2016-07-06,6,0,6,0,6,0,0.214,0.064,0.214,0.064,Hypermarket,YES,MT
2016-06-06,Banner 1,1,2016-06-06,1,1,1,1,1,16,0.799,0.799,0.799,0.799,2016-06-06,1,1,1,1,1,29,0.799,0.799,0.799,0.799,2016-06-06,1,1,1,1,1,28,0.799,0.799,0.799,0.799,2016-06-06,1,1,1,1,1,5,0.799,0.799,0.799,0.799,10,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,0,Manager 6,6,Manager 7,7,Regional,Channel 1,1,Route 1,Market 1,Local Subchannel 16,1,Market,2016-06-06,1,1,1,1,1,31,0.799,0.799,0.799,0.799,10,2016-06-06,1,1,1,1,0.348,0.799,0.348,0.799,2016-06-06,1,1,5,1,0.626,0.799,0.626,0.799,MIX,17,Outlet 17,2016-06-06,1,1,1,1,1,36,0.799,0.799,0.799,0.799,2016-06-06,1,1,1,1,1,35,0.799,0.799,0.799,0.799,HPC&F,1,2016-06-06,1,0.473,6P,2016-06-06,0,1,2016-06-06,1,1,2016-06-06,1,1,1,1,1,38,0.799,0.799,0.799,0.799,2016-06-06,0,1,2016-06-06,6,1,1,1,98,1,0.799,0.799,0.799,0.799,2016-06-06,6,1,1,1,6,8,0.799,0.799,0.799,0.799,Ice Cream,1,2016-06-06,1,Ice Cream,Market 1,2016-06-06,1,1,2016-06-06,1,1,Province 1,HPC&F2016-06-0617,North,Urban,2016-06-06,6,1,1,1,6,50,0.799,0.799,0.799,0.799,2016-06-06,6,1,1,1,6,42,0.799,0.799,0.799,0.799,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-06-06,1,1,1,1,1,21,0.799,0.799,0.799,0.799,2016-06-06,1,1,1,1,1,47,0.799,0.799,0.799,0.799,Manager 6,6,2016-06-06,6,1,7,1,6,1,0.854,0.799,0.854,0.799,Hypermarket,YES,MT
2016-05-06,Banner 1,1,2016-05-06,1,1,1,1,1,33,0.265,0.265,0.265,0.265,2016-05-06,1,1,1,1,1,49,0.265,0.265,0.265,0.265,2016-05-06,1,1,1,1,1,0,0.265,0.265,0.265,0.265,2016-05-06,1,1,1,1,1,11,0.265,0.265,0.265,0.265,28,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,0,Manager 6,6,Manager 8,8,Global,Channel 1,1,Route 1,Market 1,Local Subchannel 58,1,Street,2016-05-06,1,1,1,1,1,37,0.265,0.265,0.265,0.265,28,2016-05-06,0,1,0,1,0.773,0.265,0.773,0.265,2016-05-06,1,1,50,1,0.285,0.265,0.285,0.265,MIX,18,Outlet 18,2016-05-06,1,1,1,1,1,13,0.265,0.265,0.265,0.265,2016-05-06,1,1,1,1,1,32,0.265,0.265,0.265,0.265,IC,1,2016-05-06,1,0,6P,2016-05-06,1,1,2016-05-06,1,1,2016-05-06,1,1,1,1,1,35,0.265,0.265,0.265,0.265,2016-05-06,1,1,2016-05-06,6,1,1,1,65,1,0.265,0.265,0.265,0.265,2016-05-06,6,1,1,1,6,36,0.265,0.265,0.265,0.265,Skin Care,1,2016-05-06,1,Skin Care,Market 1,2016-05-06,1,1,2016-05-06,1,1,Province 1,IC2016-05-0618,North,Urban,2016-05-06,6,1,1,1,6,15,0.265,0.265,0.265,0.265,2016-05-06,6,1,1,1,6,4,0.265,0.265,0.265,0.265,IC,Reg 1,Route 1,Territory 1,Area 1,2016-05-06,1,1,1,1,1,7,0.265,0.265,0.265,0.265,2016-05-06,1,1,1,1,1,29,0.265,0.265,0.265,0.265,Manager 6,6,2016-05-06,6,1,8,1,6,1,0.107,0.265,0.107,0.265,Hypermarket,YES,MT
2016-04-06,Banner 1,1,2016-04-06,1,1,1,1,1,50,0.55,0.55,0.55,0.55,2016-04-06,1,1,1,1,1,32,0.55,0.55,0.55,0.55,2016-04-06,1,1,1,1,1,31,0.55,0.55,0.55,0.55,2016-04-06,1,1,1,1,1,45,0.55,0.55,0.55,0.55,47,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 7,7,Manager 9,9,Local,Channel 1,1,Route 1,Market 1,Local Subchannel 18,1,Street,2016-04-06,1,1,1,1,1,42,0.55,0.55,0.55,0.55,47,2016-04-06,0,1,0,1,0.784,0.55,0.784,0.55,2016-04-06,1,1,18,1,0.143,0.55,0.143,0.55,MIX,19,Outlet 19,2016-04-06,1,1,1,1,1,15,0.55,0.55,0.55,0.55,2016-04-06,1,1,1,1,1,13,0.55,0.55,0.55,0.55,IC,1,2016-04-06,1,0,6P,2016-04-06,1,1,2016-04-06,1,1,2016-04-06,1,1,1,1,1,12,0.55,0.55,0.55,0.55,2016-04-06,0,1,2016-04-06,7,1,1,1,66,1,0.55,0.55,0.55,0.55,2016-04-06,7,1,1,1,7,1,0.55,0.55,0.55,0.55,Hair,1,2016-04-06,1,Hair,Market 1,2016-04-06,1,1,2016-04-06,1,1,Province 1,IC2016-04-0619,North,Urban,2016-04-06,7,1,1,1,7,9,0.55,0.55,0.55,0.55,2016-04-06,7,1,1,1,7,2,0.55,0.55,0.55,0.55,IC,Reg 1,Route 1,Territory 1,Area 1,2016-04-06,1,1,1,1,1,43,0.55,0.55,0.55,0.55,2016-04-06,1,1,1,1,1,34,0.55,0.55,0.55,0.55,Manager 7,7,2016-04-06,7,1,9,1,7,1,0.895,0.55,0.895,0.55,Hypermarket,YES,MT
2016-03-06,Banner 1,1,2016-03-06,1,1,1,1,1,40,0.779,0.779,0.779,0.779,2016-03-06,1,1,1,1,1,49,0.779,0.779,0.779,0.779,2016-03-06,1,1,1,1,1,26,0.779,0.779,0.779,0.779,2016-03-06,1,1,1,1,1,38,0.779,0.779,0.779,0.779,59,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 7,7,Manager 10,10,Others,Channel 1,1,Route 1,Market 1,Local Subchannel 50,1,Market,2016-03-06,1,1,1,1,1,37,0.779,0.779,0.779,0.779,59,2016-03-06,1,1,1,1,0.607,0.779,0.607,0.779,2016-03-06,1,1,36,1,0.738,0.779,0.738,0.779,MIX,20,Outlet 20,2016-03-06,1,1,1,1,1,6,0.779,0.779,0.779,0.779,2016-03-06,1,1,1,1,1,4,0.779,0.779,0.779,0.779,HPC&F,1,2016-03-06,1,0.663,6P,2016-03-06,1,1,2016-03-06,1,1,2016-03-06,1,1,1,1,1,10,0.779,0.779,0.779,0.779,2016-03-06,1,1,2016-03-06,7,1,1,1,13,1,0.779,0.779,0.779,0.779,2016-03-06,7,1,1,1,7,49,0.779,0.779,0.779,0.779,Ice Cream,1,2016-03-06,1,Ice Cream,Market 1,2016-03-06,1,1,2016-03-06,1,1,Province 1,HPC&F2016-03-0620,North,Urban,2016-03-06,7,1,1,1,7,12,0.779,0.779,0.779,0.779,2016-03-06,7,1,1,1,7,4,0.779,0.779,0.779,0.779,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-03-06,1,1,1,1,1,10,0.779,0.779,0.779,0.779,2016-03-06,1,1,1,1,1,48,0.779,0.779,0.779,0.779,Manager 7,7,2016-03-06,7,1,10,1,7,1,0.492,0.779,0.492,0.779,Hypermarket,YES,MT
2016-12-06,Banner 1,1,2016-12-06,0,0,0,0,0,20,0.15,0.15,0.15,0.15,2016-12-06,0,0,0,0,0,50,0.15,0.15,0.15,0.15,2016-12-06,0,0,0,0,0,41,0.15,0.15,0.15,0.15,2016-12-06,0,0,0,0,0,20,0.15,0.15,0.15,0.15,26,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 7,7,Manager 7,7,Regional,Channel 1,1,Route 1,Market 2,Local Subchannel 37,1,Street,2016-12-06,0,0,0,0,0,22,0.15,0.15,0.15,0.15,26,2016-12-06,1,0,1,0,0.617,0.15,0.617,0.15,2016-12-06,1,0,9,0,0.042,0.15,0.042,0.15,MIX,21,Outlet 21,2016-12-06,0,0,0,0,0,27,0.15,0.15,0.15,0.15,2016-12-06,0,0,0,0,0,38,0.15,0.15,0.15,0.15,IC,1,2016-12-06,0,0.587,6P,2016-12-06,0,0,2016-12-06,0,0,2016-12-06,0,0,0,0,0,0,0.15,0.15,0.15,0.15,2016-12-06,0,0,2016-12-06,7,0,0,0,84,0,0.15,0.15,0.15,0.15,2016-12-06,7,0,0,0,7,11,0.15,0.15,0.15,0.15,Ice Cream,1,2016-12-06,0,Ice Cream,Market 2,2016-12-06,1,0,2016-12-06,0,0,Province 1,IC2016-12-0621,North,Urban,2016-12-06,7,0,0,0,7,15,0.15,0.15,0.15,0.15,2016-12-06,7,0,0,0,7,46,0.15,0.15,0.15,0.15,IC,Reg 1,Route 1,Territory 1,Area 1,2016-12-06,0,0,0,0,0,22,0.15,0.15,0.15,0.15,2016-12-06,0,0,0,0,0,21,0.15,0.15,0.15,0.15,Manager 7,7,2016-12-06,7,0,7,0,7,0,0.156,0.15,0.156,0.15,Hypermarket,YES,MT
2016-11-06,Banner 1,1,2016-11-06,1,1,1,1,1,14,0.638,0.638,0.638,0.638,2016-11-06,1,1,1,1,1,45,0.638,0.638,0.638,0.638,2016-11-06,1,1,1,1,1,0,0.638,0.638,0.638,0.638,2016-11-06,1,1,1,1,1,22,0.638,0.638,0.638,0.638,55,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 8,8,Manager 8,8,Global,Channel 1,1,Route 1,Market 2,Local Subchannel 10,1,Street,2016-11-06,1,1,1,1,1,24,0.638,0.638,0.638,0.638,55,2016-11-06,1,1,1,1,0.854,0.638,0.854,0.638,2016-11-06,0,1,31,1,0.456,0.638,0.456,0.638,MIX,22,Outlet 22,2016-11-06,1,1,1,1,1,41,0.638,0.638,0.638,0.638,2016-11-06,1,1,1,1,1,38,0.638,0.638,0.638,0.638,HPC&F,0,2016-11-06,1,0.887,6P,2016-11-06,0,1,2016-11-06,1,1,2016-11-06,1,1,1,1,1,11,0.638,0.638,0.638,0.638,2016-11-06,1,1,2016-11-06,8,1,1,1,67,1,0.638,0.638,0.638,0.638,2016-11-06,8,1,1,1,8,12,0.638,0.638,0.638,0.638,Ice Cream,0,2016-11-06,1,Ice Cream,Market 2,2016-11-06,1,1,2016-11-06,1,1,Province 1,HPC&F2016-11-0622,North,Urban,2016-11-06,8,1,1,1,8,34,0.638,0.638,0.638,0.638,2016-11-06,8,1,1,1,8,14,0.638,0.638,0.638,0.638,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-11-06,1,1,1,1,1,6,0.638,0.638,0.638,0.638,2016-11-06,1,1,1,1,1,20,0.638,0.638,0.638,0.638,Manager 8,8,2016-11-06,8,1,8,1,8,1,0.592,0.638,0.592,0.638,Hypermarket,YES,MT
2016-10-06,Banner 1,1,2016-10-06,0,0,0,0,0,31,0.948,0.948,0.948,0.948,2016-10-06,0,0,0,0,0,33,0.948,0.948,0.948,0.948,2016-10-06,0,0,0,0,0,19,0.948,0.948,0.948,0.948,2016-10-06,0,0,0,0,0,28,0.948,0.948,0.948,0.948,10,Channel 1,City 1,1,Commune 1,Indonesia,Customer 1,1,1,Manager 8,8,Manager 8,8,Local,Channel 1,1,Route 1,Market 2,Local Subchannel 3,1,Street,2016-10-06,0,0,0,0,0,26,0.948,0.948,0.948,0.948,10,2016-10-06,0,0,0,0,0.607,0.948,0.607,0.948,2016-10-06,0,0,17,0,0.652,0.948,0.652,0.948,MIX,23,Outlet 23,2016-10-06,0,0,0,0,0,19,0.948,0.948,0.948,0.948,2016-10-06,0,0,0,0,0,27,0.948,0.948,0.948,0.948,HPC&F,0,2016-10-06,0,0,6P,2016-10-06,1,0,2016-10-06,0,0,2016-10-06,0,0,0,0,0,43,0.948,0.948,0.948,0.948,2016-10-06,0,0,2016-10-06,8,0,0,0,99,0,0.948,0.948,0.948,0.948,2016-10-06,8,0,0,0,8,17,0.948,0.948,0.948,0.948,Skin Care,0,2016-10-06,0,Skin Care,Market 2,2016-10-06,1,0,2016-10-06,0,0,Province 1,HPC&F2016-10-0623,North,Urban,2016-10-06,8,0,0,0,8,37,0.948,0.948,0.948,0.948,2016-10-06,8,0,0,0,8,41,0.948,0.948,0.948,0.948,HPC&F,Reg 1,Route 1,Territory 1,Area 1,2016-10-06,0,0,0,0,0,37,0.948,0.948,0.948,0.948,2016-10-06,0,0,0,0,0,46,0.948,0.948,0.948,0.948,Manager 8,8,2016-10-06,8,0,8,0,8,0,0.722,0.948,0.722,0.948,Hypermarket,YES,MT
