4P/5P/6P,Banner,Cabinet,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product category,Product division,Province,Region,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Trade Format
6P,Banner 1,Cabinet 2001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-06-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-07-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-07-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 2001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-07-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-08-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-08-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 2001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-08-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-09-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-09-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 2001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-09-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-10-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-10-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 2001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-10-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-11-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-11-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 2001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-11-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-12-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-12-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 2001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-12-15,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-01-16,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-01-16,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 2001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-01-16,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-02-16,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 1001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-02-16,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 1,Cabinet 2001,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,15-02-16,Customer 1,Outlet 1,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-03-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-03-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-03-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-04-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-04-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-04-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-05-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-05-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-05-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-06-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-06-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-06-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-07-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-07-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-07-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-08-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-08-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-08-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-09-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-09-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-09-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-10-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-10-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-10-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-11-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-11-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-11-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-12-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-12-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-12-15,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-01-16,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-01-16,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-01-16,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-02-16,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 1010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-02-16,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 10,Cabinet 2010,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,15-02-16,Customer 10,Outlet 10,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,MT
6P,Banner 13,Cabinet 1013,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,15-03-15,Customer 13,Outlet 13,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,MT
6P,Banner 13,Cabinet 13,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,15-03-15,Customer 13,Outlet 13,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,MT
6P,Banner 13,Cabinet 2013,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,15-03-15,Customer 13,Outlet 13,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,MT
6P,Banner 13,Cabinet 1013,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,15-04-15,Customer 13,Outlet 13,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,MT
6P,Banner 13,Cabinet 13,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,15-04-15,Customer 13,Outlet 13,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,MT
6P,Banner 13,Cabinet 2013,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,15-04-15,Customer 13,Outlet 13,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,MT
6P,Banner 13,Cabinet 1013,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,15-05-15,Customer 13,Outlet 13,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,MT
6P,Banner 13,Cabinet 13,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,15-05-15,Customer 13,Outlet 13,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,MT
6P,Banner 13,Cabinet 2013,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,15-05-15,Customer 13,Outlet 13,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,MT
