4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Modified Product Category,Outlet classification,PSP Compliance,Place Compliance,Product category,Product division,Province,Region,SOS Compliance,SSP Compliance,Sales area,Sales region,Sales route,Sales territory,Secondary Customer,Store area,Store location,Store type,Subchannel,Sum of PLACE - PSP - Answer,Sum of PLACE - PSP - Question,Sum of PLACE - SSP - Answer,Sum of PLACE - SSP - Question,Sum of Total Category Length,Sum of Unilever Length,Trade Format
4P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,3/15/2015,Customer 1,Outlet 3,LSW1,LSW2,Dressings,MIX,1,0,Dressings,Foods,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Hypermarket,3,4,3,4,10,3.4,MT
4P,Banner 4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 4,Others,Others,DTRT 1,3/15/2015,Customer 4,Outlet 6,LSW1,LSW2,Dressings,MIX,1,0,Dressings,Foods,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Large Supermarkets,3,4,3,4,5,1.6,MT
4P,Banner 7,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 7,Regional,Key Customer,DTRT 1,3/15/2015,Customer 7,Outlet 9,LSW1,LSW2,Dressings,MIX,1,1,Dressings,Foods,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Small Supermarkets,4,4,4,4,9,2.79,MT
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,3/15/2015,Customer 1,Outlet 1,LSW1,LSW2,Hair,MIX,1,1,Hair,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Hypermarket,4,4,4,4,9,3.24,MT
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,Hair,MIX,0,0,Hair,HPC,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Discounters,2,4,2,4,9,3.06,MT
6P,Banner 13,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,3/15/2015,Customer 13,Outlet 13,LSW1,LSW2,Hair,MIX,0,0,Hair,HPC,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Club,2,4,2,4,9,2.97,MT
6P,Banner 16,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 16,Others,Others,DTRT 1,3/15/2015,Customer 16,Outlet 16,LSW1,LSW2,Hair,MIX,1,0,Hair,HPC,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),E-Commerce,3,4,3,4,6,1.98,MT
6P,Banner 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,3/15/2015,Customer 19,Outlet 19,LSW1,LSW2,Hair,MIX,1,1,Hair,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Direct Sales,4,4,4,4,9,3.06,MT
6P,Banner 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,3/15/2015,Customer 22,Outlet 22,LSW1,LSW2,Hair,MIX,1,1,Hair,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Mainstream Drugstores,4,4,4,4,9,3.15,MT
6P,Banner 25,MT,City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,3/15/2015,Customer 25,Outlet 25,LSW1,LSW2,Hair,MIX,1,0,Hair,HPC,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Mass Merchandiser (non-grocery),3,4,3,4,5,1.55,MT
6P,Banner 4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 4,Others,Others,DTRT 1,3/15/2015,Customer 4,Outlet 4,LSW1,LSW2,Hair,MIX,1,1,Hair,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Large Supermarkets,4,4,4,4,7,2.73,MT
6P,Banner 7,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 7,Regional,Key Customer,DTRT 1,3/15/2015,Customer 7,Outlet 7,LSW1,LSW2,Hair,MIX,1,1,Hair,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Small Supermarkets,4,4,4,4,8,2.96,MT
4P,Banner 10,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 12,LSW1,LSW2,Oral Care,MIX,1,1,Oral Care,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Discounters,4,4,4,4,8,2.4,MT
4P,Banner 13,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,3/15/2015,Customer 13,Outlet 15,LSW1,LSW2,Oral Care,MIX,1,1,Oral Care,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Club,4,4,4,4,9,2.88,MT
4P,Banner 16,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 16,Others,Others,DTRT 1,3/15/2015,Customer 16,Outlet 18,LSW1,LSW2,Oral Care,MIX,1,1,Oral Care,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),E-Commerce,4,4,4,4,4,1.52,MT
4P,Banner 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,3/15/2015,Customer 19,Outlet 21,LSW1,LSW2,Oral Care,MIX,1,1,Oral Care,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Direct Sales,4,4,4,4,6,2.16,MT
4P,Banner 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,3/15/2015,Customer 22,Outlet 24,LSW1,LSW2,Oral Care,MIX,1,0,Oral Care,HPC,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Mainstream Drugstores,3,4,3,4,2,0.68,MT
4P,Banner 25,MT,City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,3/15/2015,Customer 25,Outlet 27,LSW1,LSW2,Oral Care,MIX,0,0,Oral Care,HPC,Province 1,North,1,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Mass Merchandiser (non-grocery),2,4,2,4,9,3.33,MT
4P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,3/15/2015,Customer 1,Outlet 3,LSW1,LSW2,Oral Care,MIX,1,0,Oral Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Hypermarket,3,4,3,4,6,1.86,MT
4P,Banner 4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 4,Others,Others,DTRT 1,3/15/2015,Customer 4,Outlet 6,LSW1,LSW2,Oral Care,MIX,1,1,Oral Care,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Large Supermarkets,4,4,4,4,3,1.17,MT
4P,Banner 7,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 7,Regional,Key Customer,DTRT 1,3/15/2015,Customer 7,Outlet 9,LSW1,LSW2,Oral Care,MIX,1,1,Oral Care,HPC,Province 1,North,1,1,Area 1,Reg 1,Route 1,Territory 1,(blank),St Area 1,Loc 1,(blank),Small Supermarkets,4,4,4,4,3,1.14,MT
6P,Banner 28,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 28,LSW11,LSW22,Outlet 28,MIX,0,0,Hair,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 28,St Area 1,Loc 1,(blank),Perfumeries and Premium Beauty,3,4,3,4,5,1.7,DT
6P,Banner 28,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 28,LSW11,LSW22,Outlet 28,MIX,1,1,Skin Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 28,St Area 1,Loc 1,(blank),Perfumeries and Premium Beauty,4,4,4,4,3,0.9,DT
4P,Banner 28,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 30,LSW11,LSW22,Outlet 30,MIX,0,0,Dressings,Foods,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 30,St Area 1,Loc 1,(blank),Perfumeries and Premium Beauty,3,4,3,4,4,1.48,DT
4P,Banner 28,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 30,LSW11,LSW22,Outlet 30,MIX,1,1,Deodorants,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 30,St Area 1,Loc 1,(blank),Perfumeries and Premium Beauty,4,4,4,4,3,1.08,DT
4P,Banner 28,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 30,LSW11,LSW22,Outlet 30,MIX,1,1,Oral Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 30,St Area 1,Loc 1,(blank),Perfumeries and Premium Beauty,4,4,4,4,9,3.15,DT
6P,Banner 31,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Regional,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 31,LSW11,LSW22,Outlet 31,MIX,1,1,Hair,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 31,St Area 1,Loc 1,(blank),Beauty Pharmacy-Chemist,4,4,4,4,2,0.74,DT
6P,Banner 31,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Regional,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 31,LSW11,LSW22,Outlet 31,MIX,0,0,Skin Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 31,St Area 1,Loc 1,(blank),Beauty Pharmacy-Chemist,3,4,3,4,3,1.17,DT
4P,Banner 31,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Regional,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 33,LSW11,LSW22,Outlet 33,MIX,1,1,Dressings,Foods,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 33,St Area 1,Loc 1,(blank),Beauty Pharmacy-Chemist,4,4,4,4,3,1.08,DT
4P,Banner 31,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Regional,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 33,LSW11,LSW22,Outlet 33,MIX,1,1,Deodorants,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 33,St Area 1,Loc 1,(blank),Beauty Pharmacy-Chemist,4,4,4,4,4,1.4,DT
4P,Banner 31,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Regional,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 33,LSW11,LSW22,Outlet 33,MIX,1,1,Oral Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 33,St Area 1,Loc 1,(blank),Beauty Pharmacy-Chemist,4,4,4,4,4,1.52,DT
4P,Banner 34,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 34,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 36,LSW11,LSW22,Outlet 36,MIX,0,0,Dressings,Foods,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 36,St Area 1,Loc 1,(blank),Mom & Pop,3,4,3,4,7,2.24,DT
4P,Banner 34,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 34,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 36,LSW11,LSW22,Outlet 36,MIX,0,0,Deodorants,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 36,St Area 1,Loc 1,(blank),Mom & Pop,3,4,3,4,10,3.9,DT
4P,Banner 34,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 34,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 36,LSW11,LSW22,Outlet 36,MIX,0,0,Oral Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 36,St Area 1,Loc 1,(blank),Mom & Pop,3,4,3,4,4,1.44,DT
4P,Banner 37,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 37,Global,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 39,LSW11,LSW22,Outlet 39,MIX,0,0,Dressings,Foods,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 39,St Area 1,Loc 1,(blank),Market Stalls,3,4,3,4,6,1.92,DT
4P,Banner 37,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 37,Global,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 39,LSW11,LSW22,Outlet 39,MIX,1,1,Deodorants,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 39,St Area 1,Loc 1,(blank),Market Stalls,4,4,4,4,6,2.1,DT
4P,Banner 37,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 37,Global,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 39,LSW11,LSW22,Outlet 39,MIX,1,1,Oral Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 39,St Area 1,Loc 1,(blank),Market Stalls,4,4,4,4,5,1.55,DT
6P,Banner 40,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Local,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 40,LSW11,LSW22,Outlet 40,MIX,1,1,Hair,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 40,St Area 1,Loc 1,(blank),Independent (family grocer),4,4,4,4,9,3.42,DT
6P,Banner 40,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Local,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 40,LSW11,LSW22,Outlet 40,MIX,0,0,Skin Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 40,St Area 1,Loc 1,(blank),Independent (family grocer),3,4,3,4,6,2.04,DT
4P,Banner 40,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Local,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 42,LSW11,LSW22,Outlet 42,MIX,0,0,Dressings,Foods,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 42,St Area 1,Loc 1,(blank),Independent (family grocer),3,4,3,4,4,1.6,DT
4P,Banner 40,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Local,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 42,LSW11,LSW22,Outlet 42,MIX,0,0,Deodorants,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 42,St Area 1,Loc 1,(blank),Independent (family grocer),1,4,1,4,4,1.36,DT
4P,Banner 40,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Local,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 42,LSW11,LSW22,Outlet 42,MIX,1,1,Oral Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 42,St Area 1,Loc 1,(blank),Independent (family grocer),4,4,4,4,2,0.74,DT
6P,Banner 43,Convenience,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 43,Regional,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 43,LSW11,LSW22,Outlet 43,MIX,1,1,Hair,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 43,St Area 1,Loc 1,(blank),Convenience,4,4,4,4,8,2.96,DT
6P,Banner 43,Convenience,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 43,Regional,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 43,LSW11,LSW22,Outlet 43,MIX,1,1,Skin Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 43,St Area 1,Loc 1,(blank),Convenience,4,4,4,4,8,3.2,DT
4P,Banner 43,Convenience,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 43,Regional,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 45,LSW11,LSW22,Outlet 45,MIX,1,1,Dressings,Foods,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 45,St Area 1,Loc 1,(blank),Convenience,4,4,4,4,6,2.28,DT
4P,Banner 43,Convenience,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 43,Regional,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 45,LSW11,LSW22,Outlet 45,MIX,0,0,Deodorants,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 45,St Area 1,Loc 1,(blank),Convenience,2,4,2,4,6,1.8,DT
4P,Banner 43,Convenience,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 43,Regional,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 45,LSW11,LSW22,Outlet 45,MIX,0,0,Oral Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 45,St Area 1,Loc 1,(blank),Convenience,3,4,3,4,3,1.11,DT
6P,Banner 46,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 46,LSW11,LSW22,Outlet 46,MIX,1,1,Hair,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 46,St Area 1,Loc 1,(blank),Mobile / Vending / Kiosks,4,4,4,4,9,3.51,DT
6P,Banner 46,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 46,LSW11,LSW22,Outlet 46,MIX,1,1,Skin Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 46,St Area 1,Loc 1,(blank),Mobile / Vending / Kiosks,4,4,4,4,5,1.65,DT
4P,Banner 46,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 48,LSW11,LSW22,Outlet 48,MIX,0,0,Dressings,Foods,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 48,St Area 1,Loc 1,(blank),Mobile / Vending / Kiosks,2,4,2,4,2,0.68,DT
4P,Banner 46,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 48,LSW11,LSW22,Outlet 48,MIX,0,0,Deodorants,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 48,St Area 1,Loc 1,(blank),Mobile / Vending / Kiosks,3,4,3,4,3,1.14,DT
4P,Banner 46,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,Others,DTRT 1,3/15/2015,(blank),Outlet 48,LSW11,LSW22,Outlet 48,MIX,1,1,Oral Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 48,St Area 1,Loc 1,(blank),Mobile / Vending / Kiosks,4,4,4,4,2,0.66,DT
6P,Banner 49,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 49,Global,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 49,LSW11,LSW22,Outlet 49,MIX,1,1,Hair,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 49,St Area 1,Loc 1,(blank),Hotels / Restaurants,4,4,4,4,10,3.1,DT
6P,Banner 49,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 49,Global,Key Customer,DTRT 1,3/15/2015,(blank),Outlet 49,LSW11,LSW22,Outlet 49,MIX,0,0,Skin Care,HPC,Province 1,North,0,0,Area 1,Reg 1,Route 1,Territory 1,Outlet 49,St Area 1,Loc 1,(blank),Hotels / Restaurants,3,4,3,4,10,3.4,DT
