4P/5P/6P,Banner,COTC Audited,COTC Compliance,COTC OOS,COTC OSA,COTC Void,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,NPD Audited,NPD Compliance,NPD Count,OOS Count,OSA Audited,OSA Compliance,OSA Count,Outlet classification,PS Compliance,PV Audited,PV Compliance,PV Count,Pack Compliance,Price Compliance,Priority Promo Audited,Priority Promo Compliance,Priority Promo Count,Product Compliance,Product category,Product division,Promo Compliance,Province,Region,SOF Audited,SOF Compliance,SOF Count,SP Audited,SP Compliance,SP Count,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Trade Format,Void Count
6P,Banner 1,1,1,0,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,5/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,5/15/2015,Customer 1,Outlet 1,LSW1,LSW2,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,5/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,2,0,1,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,5/15/2015,Customer 1,Outlet 1,LSW1,LSW2,9,1,9,2,9,1,7,MIX,1,0,0,0,1,1,9,1,9,1,Skin Care,HPC,1,Province 1,North,1,1,1,9,1,9,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,6/15/2015,Customer 1,Outlet 1,LSW1,LSW2,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Hair,HPC,1,Province 1,North,1,1,1,5,1,5,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,1,1,0,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,6/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,0,3,1,3,1,1,3,0,2,1,Ice Cream,Beverages & Refreshments,0,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,6/15/2015,Customer 1,Outlet 1,LSW1,LSW2,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,6/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,2,1,0,2,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,6/15/2015,Customer 1,Outlet 1,LSW1,LSW2,9,1,9,0,9,1,9,MIX,1,0,0,0,1,1,9,1,9,1,Skin Care,HPC,1,Province 1,North,1,1,1,9,1,9,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,7/15/2015,Customer 1,Outlet 1,LSW1,LSW2,5,1,5,1,5,1,4,MIX,1,0,0,0,1,1,5,1,5,1,Hair,HPC,1,Province 1,North,1,1,1,5,1,5,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,1,1,0,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,7/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,7/15/2015,Customer 1,Outlet 1,LSW1,LSW2,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,7/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,0,2,MIX,0,3,1,3,1,1,3,0,2,0,Ice Cream,Beverages & Refreshments,0,Province 1,North,0,0,0,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,1
6P,Banner 1,2,0,1,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,7/15/2015,Customer 1,Outlet 1,LSW1,LSW2,9,0,8,1,9,1,8,MIX,0,0,0,0,0,0,9,1,9,1,Skin Care,HPC,1,Province 1,North,1,1,1,9,0,8,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,8/15/2015,Customer 1,Outlet 1,LSW1,LSW2,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Hair,HPC,1,Province 1,North,1,1,1,5,1,5,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,1,1,0,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,8/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,1,3,0,2,MIX,0,3,1,3,1,1,3,1,3,0,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,8/15/2015,Customer 1,Outlet 1,LSW1,LSW2,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,8/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,1,3,0,2,MIX,0,3,1,3,1,1,3,1,3,0,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,2,1,0,2,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,8/15/2015,Customer 1,Outlet 1,LSW1,LSW2,9,1,9,0,9,1,7,MIX,1,0,0,0,1,1,9,1,9,1,Skin Care,HPC,1,Province 1,North,1,1,1,9,1,9,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,2
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,9/15/2015,Customer 1,Outlet 1,LSW1,LSW2,5,0,4,0,5,1,5,MIX,0,0,0,0,0,0,5,1,5,1,Hair,HPC,1,Province 1,North,1,1,1,5,0,4,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,1,1,0,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,9/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,0,2,0,3,1,3,MIX,0,3,0,2,0,0,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,0,2,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,9/15/2015,Customer 1,Outlet 1,LSW1,LSW2,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,9/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,1,3,0,2,MIX,0,3,1,3,1,1,3,1,3,0,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,2,1,0,2,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,9/15/2015,Customer 1,Outlet 1,LSW1,LSW2,9,0,8,0,9,1,9,MIX,0,0,0,0,0,0,9,1,9,1,Skin Care,HPC,1,Province 1,North,1,1,1,9,0,8,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,10/15/2015,Customer 1,Outlet 1,LSW1,LSW2,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Hair,HPC,1,Province 1,North,1,1,1,5,1,5,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,1,1,0,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,10/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,10/15/2015,Customer 1,Outlet 1,LSW1,LSW2,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,10/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,2,1,0,2,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,10/15/2015,Customer 1,Outlet 1,LSW1,LSW2,9,1,9,2,9,1,7,MIX,1,0,0,0,1,1,9,1,9,1,Skin Care,HPC,1,Province 1,North,1,1,1,9,1,9,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Hair,HPC,1,Province 1,North,1,1,1,5,1,5,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,1,1,0,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,2,1,0,2,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,9,1,9,1,9,1,8,MIX,1,0,0,0,1,1,9,1,9,1,Skin Care,HPC,1,Province 1,North,1,1,1,9,1,9,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,5,1,5,1,5,1,4,MIX,0,0,0,0,1,1,5,0,4,1,Hair,HPC,0,Province 1,North,1,0,0,5,1,5,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,1,1,0,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,2,1,0,2,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,9,1,9,2,9,1,7,MIX,0,0,0,0,1,1,9,0,7,1,Skin Care,HPC,0,Province 1,North,1,0,0,9,1,9,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,0,4,1,Hair,HPC,1,Province 1,North,1,1,1,5,1,5,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,1,1,0,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,2,1,0,2,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,9,1,9,0,9,1,8,MIX,1,0,0,0,1,1,9,1,9,1,Skin Care,HPC,1,Province 1,North,1,1,1,9,1,9,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,1
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,5,1,5,1,5,1,4,MIX,1,0,0,0,1,1,5,1,5,1,Hair,HPC,1,Province 1,North,1,1,1,5,1,5,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,1,1,0,1,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,3,1,3,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,3,1,3,0,3,1,3,MIX,1,3,1,3,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 1,North,0,0,0,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
6P,Banner 1,2,1,0,2,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,9,0,7,0,9,1,9,MIX,0,0,0,0,0,0,9,1,9,1,Skin Care,HPC,1,Province 1,North,1,1,1,9,0,7,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,MT,0
