4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product category,Product division,Province,Region,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Total Category Length,Trade Format,Unilever Length
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,8/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,4,MT,1.56
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,9/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,9,MT,2.97
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,9/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,6,MT,2.4
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,10/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,8,MT,2.88
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,10/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,6,MT,2.04
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,6,MT,2.1
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,2,MT,0.68
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,0,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,2,MT,0.62
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,7,MT,2.8
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,0,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,10,MT,3
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,0,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,8,MT,2.48
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,4,MT,1.56
6P,Banner 1,Hypermarket,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,MT,0.99
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,9,MT,3.06
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,4,MT,1.6
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,10,MT,3.5
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,7,MT,2.52
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,5/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,8,MT,3.12
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,5/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,4,MT,1.6
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,6/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,9,MT,2.97
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,0,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,6/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,4,MT,1.2
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,7/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,9,MT,3.24
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,7/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,MT,2
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,8/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,4,MT,1.4
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,0,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,8/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,4,MT,1.24
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,0,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,9/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,8,MT,2.4
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,9/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,10,MT,3.9
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,10/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,6,MT,2.1
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,10/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,2,MT,0.76
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,11/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,9,MT,3.06
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,11/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,4,MT,1.6
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,12/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,MT,1.95
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,0,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,12/15/2015,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,7,MT,2.17
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,1/15/2016,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,7,MT,2.52
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,1/15/2016,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,4,MT,1.44
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,2/15/2016,Customer 10,Outlet 10,LSW1,LSW2,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,MT,1.2
6P,Banner 10,Discounters,City 1,SEAA,Commune 1,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,2/15/2016,Customer 10,Outlet 10,LSW1,LSW2,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,MT,1.65
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,3/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,3,MT,0.99
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,3/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,5,MT,1.85
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,3/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,6,MT,2.4
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,4/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,6,MT,2.28
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,4/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,7,MT,2.38
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,4/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,3,MT,1.11
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,0,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,5/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,8,MT,2.4
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,5/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,3,MT,1.17
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,5/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,2,MT,0.66
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,6/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,3,MT,1.11
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,6/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,3,MT,1.17
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,6/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,4,MT,1.32
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,7/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,9,MT,3.42
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,0,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,7/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,10,MT,3.1
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,7/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,10,MT,3.5
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,8/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,2,MT,0.74
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,8/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,10,MT,3.7
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,8/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,3,MT,1.02
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,9/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,5,MT,1.95
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,9/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,10,MT,3.7
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,9/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,6,MT,2.34
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,10/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,6,MT,2.34
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,10/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,5,MT,1.75
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,10/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,8,MT,3.04
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,11/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,8,MT,2.88
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,11/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,7,MT,2.24
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,11/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,8,MT,2.64
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,12/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,7,MT,2.66
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,12/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,6,MT,2.22
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,12/15/2015,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,7,MT,2.52
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,1/15/2016,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,2,MT,0.72
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,1/15/2016,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,2,MT,0.7
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,0,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,1/15/2016,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,10,MT,3.1
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,2/15/2016,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Deodorants,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,10,MT,3.2
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,2/15/2016,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Dressings,Foods,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,2,MT,0.72
5P,Banner 11,Discounters,City 2,SEAA,Commune 2,1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 2,2/15/2016,Customer 10 ABC,Outlet 11,LSW3,LSW4,MIX,Oral Care,HPC,Province 2,South,Area 2,Reg 2,Route 2,Territory 2,St Area 2,Loc 2,Discounters,4,MT,1.48
