4P/5P/6P,Banner,COTC,COTC Audited,COTC Compliance,COTC OOS,COTC OSA,COTC Void,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,OOS,OSA,OSA Compliance,Outlet classification,Product category,Product division,Province,Region,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Total Audited,Total OOS,Total OSA,Total Void,Trade Format,Void
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,7/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,0.666667,0,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,0,2,1,MT,0.333333
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,8/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,0,5,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,8/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,1,0,1,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,8/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0.333333,0.666667,0,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,1,2,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,9/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,0,5,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,9/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,1,0,1,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,9/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0.333333,0.666667,0,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,1,2,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,10/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,0,5,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,10/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,1,0,1,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,10/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,0,3,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,0,5,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,1,0,1,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,11/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,0,3,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0.2,0.8,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,1,4,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,1,0,1,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,0,3,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,0,5,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,1,0,1,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,1/15/2016,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,0,3,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,0.2,0.8,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,5,1,4,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,1,0,1,0,MT,0
6P,Banner 1,0,0,0,0,0,0,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,2/15/2016,Customer 1,Outlet 1,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,3,0,3,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0.2,0.8,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,1,4,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,3/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,0,3,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,0,5,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,4/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,0,3,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,5/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0.2,0.8,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,1,4,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,5/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,5/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,0,3,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,6/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0.4,0.6,0,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,2,3,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,6/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,6/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0.666667,0.333333,0,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,2,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,7/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0.2,0.8,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,1,4,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,7/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,7/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,0,3,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,8/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,0,5,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,8/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,8/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,0.666667,0,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,0,2,1,MT,0.333333
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,9/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0.2,0.8,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,1,4,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,9/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,9/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,0,3,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,10/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,0,5,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,10/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,10/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0.333333,0.666667,0,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,1,2,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,11/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0.4,0.6,0,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,2,3,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,11/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,11/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,0.666667,0,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,0,2,1,MT,0.333333
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,12/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,0,5,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,12/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,12/15/2015,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,0,3,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,1/15/2016,Customer 10,Outlet 10,LSW1,LSW2,0.2,0.8,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,1,4,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,1/15/2016,Customer 10,Outlet 10,LSW1,LSW2,1,0,0,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,1,0,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,1/15/2016,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,0,3,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,2/15/2016,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,5,0,5,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,2/15/2016,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,1,0,1,0,MT,0
6P,Banner 10,0,0,0,0,0,0,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,2/15/2016,Customer 10,Outlet 10,LSW1,LSW2,0,1,1,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,3,0,3,0,MT,0
