4P/5P/6P,Banner,CTA Compliance,CTA Compliant,CTA Message,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Modified Product Category,Month,Outlet classification,Product category,Product division,Province,Region,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Store type,Subchannel,Trade Format,Year
4P,Banner 16,1,4,4,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 16,Others,Others,DTRT 1,4/15/2015,Customer 16,Outlet 18,LSW1,LSW2,Dressings,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),E-Commerce,MT,2015
4P,Banner 19,1,4,4,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,4/15/2015,Customer 19,Outlet 21,LSW1,LSW2,Dressings,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Direct Sales,MT,2015
4P,Banner 22,1,4,4,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,4/15/2015,Customer 22,Outlet 24,LSW1,LSW2,Dressings,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mainstream Drugstores,MT,2015
4P,Banner 25,1,4,4,MT,City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,4/15/2015,Customer 25,Outlet 27,LSW1,LSW2,Dressings,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mass Merchandiser (non-grocery),MT,2015
4P,Banner 1,0,3,4,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,4/15/2015,Customer 1,Outlet 3,LSW1,LSW2,Dressings,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Hypermarket,MT,2015
4P,Banner 4,1,4,4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 4,Others,Others,DTRT 1,5/15/2015,Customer 4,Outlet 6,LSW1,LSW2,Dressings,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Large Supermarkets,MT,2015
4P,Banner 7,1,4,4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 7,Regional,Key Customer,DTRT 1,5/15/2015,Customer 7,Outlet 9,LSW1,LSW2,Dressings,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Small Supermarkets,MT,2015
6P,Banner 1,1,4,4,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,5/15/2015,Customer 1,Outlet 1,LSW1,LSW2,Hair,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Hypermarket,MT,2015
6P,Banner 10,1,4,4,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,5/15/2015,Customer 10,Outlet 10,LSW1,LSW2,Hair,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Discounters,MT,2015
6P,Banner 13,1,4,4,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,5/15/2015,Customer 13,Outlet 13,LSW1,LSW2,Hair,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Club,MT,2015
6P,Banner 16,1,4,4,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 16,Others,Others,DTRT 1,5/15/2015,Customer 16,Outlet 16,LSW1,LSW2,Hair,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),E-Commerce,MT,2015
6P,Banner 19,0,3,4,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,5/15/2015,Customer 19,Outlet 19,LSW1,LSW2,Hair,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Direct Sales,MT,2015
6P,Banner 22,1,4,4,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,5/15/2015,Customer 22,Outlet 22,LSW1,LSW2,Hair,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mainstream Drugstores,MT,2015
6P,Banner 25,0,3,4,MT,City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,6/15/2015,Customer 25,Outlet 25,LSW1,LSW2,Hair,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mass Merchandiser (non-grocery),MT,2015
6P,Banner 4,1,4,4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 4,Others,Others,DTRT 1,6/15/2015,Customer 4,Outlet 4,LSW1,LSW2,Hair,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Large Supermarkets,MT,2015
6P,Banner 7,0,3,4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 7,Regional,Key Customer,DTRT 1,6/15/2015,Customer 7,Outlet 7,LSW1,LSW2,Hair,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Small Supermarkets,MT,2015
4P,Banner 10,1,4,4,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Local,Key Customer,DTRT 1,6/15/2015,Customer 10,Outlet 12,LSW1,LSW2,Oral Care,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Discounters,MT,2015
4P,Banner 13,1,4,4,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Global,Key Customer,DTRT 1,6/15/2015,Customer 13,Outlet 15,LSW1,LSW2,Oral Care,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Club,MT,2015
4P,Banner 16,1,4,4,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 16,Others,Others,DTRT 1,6/15/2015,Customer 16,Outlet 18,LSW1,LSW2,Oral Care,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),E-Commerce,MT,2015
4P,Banner 19,0,3,4,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,6/15/2015,Customer 19,Outlet 21,LSW1,LSW2,Oral Care,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Direct Sales,MT,2015
4P,Banner 22,0,3,4,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,6/15/2015,Customer 22,Outlet 24,LSW1,LSW2,Oral Care,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mainstream Drugstores,MT,2015
4P,Banner 25,1,4,4,MT,City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,7/15/2015,Customer 25,Outlet 27,LSW1,LSW2,Oral Care,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mass Merchandiser (non-grocery),MT,2015
4P,Banner 1,1,4,4,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Global,Key Customer,DTRT 1,7/15/2015,Customer 1,Outlet 3,LSW1,LSW2,Oral Care,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Hypermarket,MT,2015
4P,Banner 4,1,4,4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 4,Others,Others,DTRT 1,7/15/2015,Customer 4,Outlet 6,LSW1,LSW2,Oral Care,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Large Supermarkets,MT,2015
4P,Banner 7,0,3,4,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 7,Regional,Key Customer,DTRT 1,7/15/2015,Customer 7,Outlet 9,LSW1,LSW2,Oral Care,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Small Supermarkets,MT,2015
6P,Banner 28,0,3,4,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,Others,DTRT 1,7/15/2015,(blank),Outlet 28,LSW11,LSW22,Outlet 28,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Perfumeries and Premium Beauty,DT,2015
6P,Banner 28,1,4,4,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,Others,DTRT 1,7/15/2015,(blank),Outlet 28,LSW11,LSW22,Outlet 28,3,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Perfumeries and Premium Beauty,DT,2015
4P,Banner 28,0,3,4,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,Others,DTRT 1,7/15/2015,(blank),Outlet 30,LSW11,LSW22,Outlet 30,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Perfumeries and Premium Beauty,DT,2015
4P,Banner 28,0,2,4,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,Others,DTRT 1,7/15/2015,(blank),Outlet 30,LSW11,LSW22,Outlet 30,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Perfumeries and Premium Beauty,DT,2015
4P,Banner 28,0,3,4,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,Others,DTRT 1,8/15/2015,(blank),Outlet 30,LSW11,LSW22,Outlet 30,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Perfumeries and Premium Beauty,DT,2015
6P,Banner 31,1,4,4,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Regional,Key Customer,DTRT 1,8/15/2015,(blank),Outlet 31,LSW11,LSW22,Outlet 31,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Beauty Pharmacy-Chemist,DT,2015
6P,Banner 31,1,4,4,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Regional,Key Customer,DTRT 1,8/15/2015,(blank),Outlet 31,LSW11,LSW22,Outlet 31,3,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Beauty Pharmacy-Chemist,DT,2015
4P,Banner 31,0,3,4,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Regional,Key Customer,DTRT 1,8/15/2015,(blank),Outlet 33,LSW11,LSW22,Outlet 33,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Beauty Pharmacy-Chemist,DT,2015
4P,Banner 31,1,4,4,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Regional,Key Customer,DTRT 1,8/15/2015,(blank),Outlet 33,LSW11,LSW22,Outlet 33,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Beauty Pharmacy-Chemist,DT,2015
4P,Banner 31,1,4,4,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Regional,Key Customer,DTRT 1,8/15/2015,(blank),Outlet 33,LSW11,LSW22,Outlet 33,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Beauty Pharmacy-Chemist,DT,2015
6P,Banner 34,0,2,4,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 34,Others,Others,DTRT 1,8/15/2015,(blank),Outlet 34,LSW11,LSW22,Outlet 34,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mom & Pop,DT,2015
6P,Banner 34,0,2,4,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 34,Others,Others,DTRT 1,8/15/2015,(blank),Outlet 34,LSW11,LSW22,Outlet 34,3,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mom & Pop,DT,2015
4P,Banner 34,1,4,4,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 34,Others,Others,DTRT 1,9/15/2015,(blank),Outlet 36,LSW11,LSW22,Outlet 36,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mom & Pop,DT,2015
4P,Banner 34,1,4,4,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 34,Others,Others,DTRT 1,9/15/2015,(blank),Outlet 36,LSW11,LSW22,Outlet 36,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mom & Pop,DT,2015
4P,Banner 34,1,4,4,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 34,Others,Others,DTRT 1,9/15/2015,(blank),Outlet 36,LSW11,LSW22,Outlet 36,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mom & Pop,DT,2015
6P,Banner 37,1,4,4,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 37,Global,Key Customer,DTRT 1,9/15/2015,(blank),Outlet 37,LSW11,LSW22,Outlet 37,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Market Stalls,DT,2015
6P,Banner 37,1,4,4,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 37,Global,Key Customer,DTRT 1,9/15/2015,(blank),Outlet 37,LSW11,LSW22,Outlet 37,3,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Market Stalls,DT,2015
4P,Banner 37,1,4,4,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 37,Global,Key Customer,DTRT 1,9/15/2015,(blank),Outlet 39,LSW11,LSW22,Outlet 39,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Market Stalls,DT,2015
4P,Banner 37,1,4,4,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 37,Global,Key Customer,DTRT 1,9/15/2015,(blank),Outlet 39,LSW11,LSW22,Outlet 39,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Market Stalls,DT,2015
4P,Banner 37,1,4,4,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 37,Global,Key Customer,DTRT 1,9/15/2015,(blank),Outlet 39,LSW11,LSW22,Outlet 39,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Market Stalls,DT,2015
6P,Banner 40,0,2,4,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Local,Key Customer,DTRT 1,10/15/2015,(blank),Outlet 40,LSW11,LSW22,Outlet 40,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Independent (family grocer),DT,2015
6P,Banner 40,0,3,4,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Local,Key Customer,DTRT 1,10/15/2015,(blank),Outlet 40,LSW11,LSW22,Outlet 40,3,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Independent (family grocer),DT,2015
4P,Banner 40,1,4,4,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Local,Key Customer,DTRT 1,10/15/2015,(blank),Outlet 42,LSW11,LSW22,Outlet 42,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Independent (family grocer),DT,2015
4P,Banner 40,1,4,4,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Local,Key Customer,DTRT 1,10/15/2015,(blank),Outlet 42,LSW11,LSW22,Outlet 42,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Independent (family grocer),DT,2015
4P,Banner 40,1,4,4,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Local,Key Customer,DTRT 1,10/15/2015,(blank),Outlet 42,LSW11,LSW22,Outlet 42,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Independent (family grocer),DT,2015
6P,Banner 43,1,4,4,Convenience,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 43,Regional,Key Customer,DTRT 1,10/15/2015,(blank),Outlet 43,LSW11,LSW22,Outlet 43,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Convenience,DT,2015
6P,Banner 43,1,4,4,Convenience,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 43,Regional,Key Customer,DTRT 1,10/15/2015,(blank),Outlet 43,LSW11,LSW22,Outlet 43,3,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Convenience,DT,2015
4P,Banner 43,1,4,4,Convenience,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 43,Regional,Key Customer,DTRT 1,10/15/2015,(blank),Outlet 45,LSW11,LSW22,Outlet 45,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Convenience,DT,2015
4P,Banner 43,1,4,4,Convenience,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 43,Regional,Key Customer,DTRT 1,11/15/2015,(blank),Outlet 45,LSW11,LSW22,Outlet 45,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Convenience,DT,2015
4P,Banner 43,1,4,4,Convenience,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 43,Regional,Key Customer,DTRT 1,11/15/2015,(blank),Outlet 45,LSW11,LSW22,Outlet 45,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Convenience,DT,2015
6P,Banner 46,1,4,4,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,Others,DTRT 1,11/15/2015,(blank),Outlet 46,LSW11,LSW22,Outlet 46,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mobile / Vending / Kiosks,DT,2015
6P,Banner 46,1,4,4,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,Others,DTRT 1,11/15/2015,(blank),Outlet 46,LSW11,LSW22,Outlet 46,3,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mobile / Vending / Kiosks,DT,2015
4P,Banner 46,1,4,4,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,Others,DTRT 1,11/15/2015,(blank),Outlet 48,LSW11,LSW22,Outlet 48,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mobile / Vending / Kiosks,DT,2015
4P,Banner 46,0,3,4,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,Others,DTRT 1,11/15/2015,(blank),Outlet 48,LSW11,LSW22,Outlet 48,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mobile / Vending / Kiosks,DT,2015
4P,Banner 46,0,2,4,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,Others,DTRT 1,11/15/2015,(blank),Outlet 48,LSW11,LSW22,Outlet 48,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Mobile / Vending / Kiosks,DT,2015
6P,Banner 49,1,4,4,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 49,Global,Key Customer,DTRT 1,11/15/2015,(blank),Outlet 49,LSW11,LSW22,Outlet 49,3,MIX,Hair,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Hotels / Restaurants,DT,2015
6P,Banner 49,0,2,4,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 49,Global,Key Customer,DTRT 1,12/15/2015,(blank),Outlet 49,LSW11,LSW22,Outlet 49,3,MIX,Skin Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Hotels / Restaurants,DT,2015
4P,Banner 49,1,4,4,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 49,Global,Key Customer,DTRT 1,12/15/2015,(blank),Outlet 51,LSW11,LSW22,Outlet 51,3,MIX,Dressings,Foods,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Hotels / Restaurants,DT,2015
4P,Banner 49,1,4,4,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 49,Global,Key Customer,DTRT 1,12/15/2015,(blank),Outlet 51,LSW11,LSW22,Outlet 51,3,MIX,Deodorants,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Hotels / Restaurants,DT,2015
4P,Banner 49,1,4,4,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 49,Global,Key Customer,DTRT 1,12/15/2015,(blank),Outlet 51,LSW11,LSW22,Outlet 51,3,MIX,Oral Care,HPC,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,(blank),Hotels / Restaurants,DT,2015
