4P/5P/6P,Average of Cabinet Fill,Banner,CC Answer,CC Audited,CTA Compliance,CTA UL,CTA expected,Cabinet Care Compliance,Cabinet Fill Compliance,Cabinet Type Audited,Cabinet Type Compliance,Cabinet Type in UL,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Location Audited,Location Compliance,Location in UL,Outlet classification,POS Kits Compliance,POS Kits available,POS Kits expected,PS Compliance,PV Compliance,Pack Compliance,Place Compliance,Planogram Compliance,Planogram Guideline UL,Planogram Guidelines Audited,Price Compliance,Product Compliance,Product category,Product division,Promo Compliance,Proposition Compliance,Province,Region,SOC Compliance,SOC/Cabinet Fill Compliance,SP Compliance,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Sum of NPD Audited,Sum of NPD Count,Sum of OOS Count,Sum of OSA Audited,Sum of OSA Count,Sum of PV Audited,Sum of PV Count,Sum of Promo Audited,Sum of Promo Count,Sum of SOC Audited,Sum of SOC UL,Sum of SP Audited,Sum of SP Count,Sum of Void Count,Trade Format
6P,0.61,Banner 157,18,21,1,12,12,1,1,1,1,1,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Key Customer,DTRT 5,1/15/2016,Customer 157,Outlet 157,LSW 5,LSW 6,1,0,0,MIX,1,9,9,0,1,0,0,1,11,12,0,0,Ice Cream,Beverages & Refreshments,1,1,Province 5,Central,1,1,0,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),7,6,2,7,5,5,5,7,7,21,11,7,6,0,MT
4P,0.506667,Banner 16,18,21,1,12,12,1,1,3,1,3,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 16,Others,DTRT 1,1/15/2016,Customer 16,Outlet 16,LSW 1,LSW 2,2,1,2,MIX,1,9,9,1,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,0,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,E-Commerce,7,7,1,7,6,7,7,7,7,22,10,7,7,0,MT
4P,0.71,Banner 19,18,21,1,12,12,1,1,1,1,1,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Key Customer,DTRT 1,1/15/2016,Customer 19,Outlet 19,LSW 1,LSW 2,1,1,1,MIX,1,9,9,0,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,0,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,7,7,1,7,6,7,7,7,6,18,11,7,7,0,MT
5P,0.483333,Banner 22,18,21,1,12,12,1,0,2,1,2,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Key Customer,DTRT 1,1/15/2016,Customer 22,Outlet 22,LSW 1,LSW 2,2,1,2,MIX,0,8,9,0,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,0,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,7,7,1,7,6,9,9,7,7,17,15,7,7,0,MT
5P,0.746667,Banner 25,18,21,1,12,12,1,1,3,1,3,Mass Merchandiser (non-grocery),City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Key Customer,DTRT 1,1/15/2016,Customer 25,Outlet 25,LSW 1,LSW 2,1,1,1,MIX,1,9,9,0,1,1,1,1,10,12,1,0,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mass Merchandiser (non-grocery),7,7,2,7,5,9,9,7,7,23,15,7,7,0,MT
6P,0.64,Banner 4,18,21,1,12,12,1,1,3,1,3,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 4,Others,DTRT 1,1/15/2016,Customer 4,Outlet 4,LSW 1,LSW 2,3,1,3,MIX,1,9,9,1,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Large Supermarkets,7,7,0,7,7,9,9,7,7,19,11,7,7,0,MT
6P,0.756667,Banner 67,18,21,1,12,12,1,1,1,1,1,Hypermarket,City 3,SEAA,Commune 3,Category,Philippines,Customer 67,Key Customer,DTRT 3,1/15/2016,Customer 67,Outlet 67,LSW 3,LSW 4,1,1,1,MIX,1,9,9,0,0,0,1,1,10,12,0,1,Ice Cream,Beverages & Refreshments,0,1,Province 3,East,1,1,0,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Hypermarket,7,6,1,7,6,9,8,7,6,23,12,7,6,0,MT
4P,0.693333,Banner 7,18,21,1,12,12,1,1,2,1,2,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 7,Key Customer,DTRT 1,1/15/2016,Customer 7,Outlet 7,LSW 1,LSW 2,2,1,2,MIX,1,9,9,1,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Small Supermarkets,7,7,1,7,6,9,9,7,7,20,15,7,7,0,MT
4P,0.473333,Banner 70,18,21,1,12,12,1,0,3,1,3,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 70,Others,DTRT 3,1/15/2016,Customer 70,Outlet 70,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Large Supermarkets,7,7,0,7,7,9,9,7,7,18,10,7,7,0,MT
5P,0.88,Banner 73,18,21,1,12,12,1,1,3,1,3,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 73,Key Customer,DTRT 3,1/15/2016,Customer 73,Outlet 73,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Small Supermarkets,7,7,1,7,6,9,9,7,7,17,15,7,7,0,MT
5P,0.426667,Banner 76,18,21,1,12,12,1,0,3,1,3,Discounters,City 3,SEAA,Commune 3,Category,Philippines,Customer 76,Key Customer,DTRT 3,1/15/2016,Customer 76,Outlet 76,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Discounters,7,7,0,7,7,9,9,7,7,21,11,7,7,0,MT
6P,0.663333,Banner 79,18,21,1,12,12,1,1,2,1,2,Club,City 3,SEAA,Commune 3,Category,Philippines,Customer 79,Key Customer,DTRT 3,1/15/2016,Customer 79,Outlet 79,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Club,7,7,1,7,6,9,9,7,7,20,10,7,7,0,MT
6P,0.586667,Banner 82,18,21,1,12,12,1,1,3,1,3,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 82,Others,DTRT 3,1/15/2016,Customer 82,Outlet 82,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,0,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,E-Commerce,7,7,0,7,7,9,9,7,7,21,10,7,7,0,MT
4P,0.886667,Banner 85,18,21,1,12,12,1,1,3,1,3,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 85,Key Customer,DTRT 3,1/15/2016,Customer 85,Outlet 85,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Direct Sales,7,7,0,7,7,9,9,7,7,21,15,7,7,0,MT
4P,0.57,Banner 88,18,21,1,12,12,1,1,3,1,3,Drug,City 3,SEAA,Commune 3,Category,Philippines,Customer 88,Key Customer,DTRT 3,1/15/2016,Customer 88,Outlet 88,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,7,7,0,7,7,9,9,7,7,22,11,7,7,0,MT
5P,0.62,Banner 91,18,21,1,12,12,1,1,2,1,2,Mass Merchandiser (non-grocery),City 3,SEAA,Commune 3,Category,Philippines,Customer 91,Key Customer,DTRT 3,1/15/2016,Customer 91,Outlet 91,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),7,7,1,7,6,9,9,7,7,17,15,7,7,0,MT
5P,0.513333,Banner 31,18,21,1,12,12,1,1,2,1,2,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 31,Key Customer,DTRT 1,1/15/2016,Customer 31,Outlet 31,LSW 1,LSW 2,2,1,2,MIX,1,9,9,0,1,0,1,1,12,12,0,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,0,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Beauty Pharmacy-Chemist,7,6,0,7,7,9,9,7,7,18,12,7,6,0,DT
6P,0.56,Banner 28,18,21,1,12,12,1,1,3,1,3,Drug,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 28,Others,DTRT 1,1/15/2016,Customer 28,Outlet 28,LSW 1,LSW 2,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Perfumeries and Premium Beauty,7,7,1,7,6,9,9,7,7,20,15,7,7,0,DT
6P,0.45,Banner 40,17,21,1,12,12,1,0,3,1,3,Independent (family grocer),City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 40,Key Customer,DTRT 1,1/15/2016,Customer 40,Outlet 40,LSW 1,LSW 2,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Independent (family grocer),7,7,0,7,7,9,9,7,7,17,10,7,7,0,DT
4P,0.666667,Banner 52,18,21,1,12,12,1,1,1,1,1,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 52,Key Customer,DTRT 1,1/15/2016,Customer 52,Outlet 52,LSW 1,LSW 2,1,1,1,MIX,1,9,9,0,0,0,1,1,12,12,0,1,Ice Cream,Beverages & Refreshments,0,1,Province 1,North,1,1,0,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Cafes / Snack Bars / Bars,7,6,0,7,6,9,8,7,6,21,15,7,6,1,DT
4P,0.813333,Banner 49,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 49,Key Customer,DTRT 1,1/15/2016,Customer 49,Outlet 49,LSW 1,LSW 2,3,1,3,MIX,1,9,9,0,1,1,1,1,12,12,1,0,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hotels / Restaurants,7,7,2,7,5,9,9,7,7,20,10,7,7,0,DT
5P,0.536667,Banner 61,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 61,Key Customer,DTRT 1,1/15/2016,Customer 61,Outlet 61,LSW 1,LSW 2,3,1,3,MIX,0,8,9,0,0,0,1,1,12,12,0,1,Ice Cream,Beverages & Refreshments,1,0,Province 1,North,1,1,0,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Institutions education / government,7,5,1,7,6,9,8,7,7,18,10,7,5,0,DT
5P,0.753333,Banner 46,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 46,Others,DTRT 1,1/15/2016,Customer 46,Outlet 46,LSW 1,LSW 2,3,1,3,MIX,1,9,9,0,1,0,1,1,12,12,0,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,0,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mobile / Vending / Kiosks,7,6,0,7,7,9,9,7,7,17,15,7,6,0,DT
6P,0.686667,Banner 64,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 64,Key Customer,DTRT 1,1/15/2016,Customer 64,Outlet 64,LSW 1,LSW 2,2,1,2,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Non-food retail,7,7,1,7,6,9,9,7,7,20,10,7,7,0,DT
6P,0.533333,Banner 55,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 55,Key Customer,DTRT 1,1/15/2016,Customer 55,Outlet 55,LSW 1,LSW 2,2,1,2,MIX,1,9,9,0,0,1,1,1,12,12,0,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,SCO Services / Companies / Offices,7,7,0,7,7,9,8,7,7,18,15,7,7,0,DT
4P,0.596667,Banner 58,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 58,Others,DTRT 1,1/15/2016,Customer 58,Outlet 58,LSW 1,LSW 2,2,1,2,MIX,0,8,9,0,0,1,1,1,12,12,0,1,Ice Cream,Beverages & Refreshments,0,0,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Travel & Leisure,7,7,1,7,6,9,8,7,6,18,10,7,7,0,DT
4P,0.763333,Banner 37,18,21,1,12,12,1,1,2,1,2,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 37,Key Customer,DTRT 1,1/15/2016,Customer 37,Outlet 37,LSW 1,LSW 2,2,1,2,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Market Stalls,7,7,1,7,6,9,9,7,7,21,15,7,7,0,DT
5P,0.933333,Banner 34,18,21,0,11,12,1,1,2,1,2,Small / Open Markets,City 1,SEAA,Commune 1,Outlet,Indonesia,Customer 34,Others,DTRT 1,1/15/2016,Customer 34,Outlet 34,LSW 1,LSW 2,2,1,2,MIX,1,9,9,0,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,0,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mom & Pop,7,7,1,7,6,9,9,7,7,20,11,7,7,0,DT
5P,0.693333,Banner 109,18,21,1,12,12,1,1,3,1,3,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Key Customer,DTRT 3,1/15/2016,Customer 109,Outlet 109,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Convenience,7,7,0,7,7,7,7,7,7,20,15,7,7,0,DT
6P,0.686667,Banner 97,18,21,1,12,12,1,1,3,1,3,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 97,Key Customer,DTRT 3,1/15/2016,Customer 97,Outlet 97,LSW 3,LSW 4,3,1,3,MIX,1,9,9,0,1,1,1,1,12,12,1,0,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Beauty Pharmacy-Chemist,7,7,1,7,5,7,7,7,7,18,10,7,7,1,DT
6P,0.58,Banner 94,18,21,1,12,12,1,1,3,1,3,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 94,Others,DTRT 3,1/15/2016,Customer 94,Outlet 94,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Perfumeries and Premium Beauty,7,7,1,7,6,9,9,7,7,17,15,7,7,0,DT
4P,0.616667,Banner 106,18,21,1,12,12,1,1,1,1,1,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Key Customer,DTRT 3,1/15/2016,Customer 106,Outlet 106,LSW 3,LSW 4,1,1,1,MIX,1,9,9,0,1,0,1,1,9,12,0,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,0,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Independent (family grocer),7,6,0,7,7,7,7,7,7,18,12,7,6,0,DT
4P,0.77,Banner 118,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Key Customer,DTRT 3,1/15/2016,Customer 118,Outlet 118,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Cafes / Snack Bars / Bars,7,7,0,7,7,5,5,7,7,22,11,7,7,0,DT
5P,0.506667,Banner 115,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Key Customer,DTRT 3,1/15/2016,Customer 115,Outlet 115,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Hotels / Restaurants,7,7,0,7,7,5,5,7,7,18,11,7,7,0,DT
5P,0.653333,Banner 127,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,1/15/2016,Customer 127,Outlet 127,LSW 3,LSW 4,3,1,3,MIX,1,9,9,0,1,1,1,1,12,12,1,0,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,7,2,7,5,5,5,7,7,19,15,7,7,0,DT
6P,0.816667,Banner 112,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,DTRT 3,1/15/2016,Customer 112,Outlet 112,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mobile / Vending / Kiosks,7,7,0,7,7,5,5,7,7,16,11,7,7,0,DT
6P,0.75,Banner 130,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 130,Key Customer,DTRT 3,1/15/2016,Customer 130,Outlet 130,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Non-food retail,7,7,1,7,6,5,5,7,7,18,12,7,7,0,DT
4P,0.71,Banner 121,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Key Customer,DTRT 3,1/15/2016,Customer 121,Outlet 121,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,SCO Services / Companies / Offices,7,7,0,7,7,5,5,7,7,20,10,7,7,0,DT
4P,0.746667,Banner 124,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,1/15/2016,Customer 124,Outlet 124,LSW 3,LSW 4,3,1,3,MIX,1,9,9,0,1,1,1,1,9,12,1,0,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,7,1,7,5,5,5,7,7,19,15,7,7,1,DT
